league,season,game,jersey_number,player,team,is_starter,position,minutes_played,date,home_team,away_team,opponent_1,opponent,position_mode,is_oop,all_positions,most_common_position,position_1,position_2,position_3,position_4
ENG-Premier League,2324,Bournemouth-West Ham,23,Alphonse Areola,West Ham,True,GK,90,2023-08-12,Bournemouth,West Ham,Bournemouth,Bournemouth,GK,False,GK,GK,GK,,,
ENG-Premier League,2324,Bournemouth-West Ham,4,Kurt Zouma,West Ham,True,CB,90,2023-08-12,Bournemouth,West Ham,Bournemouth,Bournemouth,CB,False,CB,CB,CB,,,
ENG-Premier League,2324,Bournemouth-West Ham,5,Vladimir Coufal,West Ham,True,RB,90,2023-08-12,Bournemouth,West Ham,Bournemouth,Bournemouth,RB,False,"RB,WB",RB,RB,,,
ENG-Premier League,2324,Bournemouth-West Ham,8,Pablo Fornals,West Ham,True,AM,85,2023-08-12,Bournemouth,West Ham,Bournemouth,Bournemouth,LW,True,"AM,RF,CM,LW,LM,FW,DM,LM,RW,LW",LW,AM,,,
ENG-Premier League,2324,Bournemouth-West Ham,9,Michail Antonio,West Ham,True,FW,77,2023-08-12,Bournemouth,West Ham,Bournemouth,Bournemouth,FW,False,"FW,LF,AM,LW",FW,FW,,,
ENG-Premier League,2324,Bournemouth-West Ham,10,Lucas Paqueta,West Ham,True,"DM,AM",89,2023-08-12,Bournemouth,West Ham,Bournemouth,Bournemouth,LW,True,"DM,AM,CM,CM,LM,RM,AM,LW,DM,AML,LF,LW,CF",DM,DM,AM,,
ENG-Premier League,2324,Bournemouth-West Ham,20,Jarrod Bowen,West Ham,True,RW,90,2023-08-12,Bournemouth,West Ham,Bournemouth,Bournemouth,RF,True,"RW,RF,FW,CF,LF",RW,RW,,,
ENG-Premier League,2324,Bournemouth-West Ham,22,Said Benrahma,West Ham,True,LW,90,2023-08-12,Bournemouth,West Ham,Bournemouth,Bournemouth,LW,False,"LW,LM,AML,FW,AM",LW,LW,,,
ENG-Premier League,2324,Bournemouth-West Ham,27,Nayef Aguerd,West Ham,True,CB,90,2023-08-12,Bournemouth,West Ham,Bournemouth,Bournemouth,CB,False,CB,CB,CB,,,
ENG-Premier League,2324,Bournemouth-West Ham,28,Tomas Soucek,West Ham,True,DM,90,2023-08-12,Bournemouth,West Ham,Bournemouth,Bournemouth,DM,False,"DM,CM,DM,AM,AM,RM,CM,LB",DM,DM,,,
ENG-Premier League,2324,Bournemouth-West Ham,33,Emerson Palmieri,West Ham,True,LB,90,2023-08-12,Bournemouth,West Ham,Bournemouth,Bournemouth,LB,False,"LB,WB",LB,LB,,,
ENG-Premier League,2324,Bournemouth-West Ham,1,Lukasz Fabianski,West Ham,False,GK,0,2023-08-12,Bournemouth,West Ham,Bournemouth,Bournemouth,GK,False,GK,GK,GK,,,
ENG-Premier League,2324,Bournemouth-West Ham,2,Ben Johnson,West Ham,False,RB,0,2023-08-12,Bournemouth,West Ham,Bournemouth,Bournemouth,RB,False,"RB,AMR,CM,RW,RB,LW,RM,RB,CB,RM,RW,WB,LW,RW,DM,RB",RB,RB,,,
ENG-Premier League,2324,Bournemouth-West Ham,17,Maxwel Cornet,West Ham,False,AM,1,2023-08-12,Bournemouth,West Ham,Bournemouth,Bournemouth,LW,True,"AM,LW,RM,RW",AM,AM,,,
ENG-Premier League,2324,Bournemouth-West Ham,18,Danny Ings,West Ham,False,FW,13,2023-08-12,Bournemouth,West Ham,Bournemouth,Bournemouth,FW,False,"FW,AM,LF,LB,RF,CB,FW,RB",FW,FW,,,
ENG-Premier League,2324,Bournemouth-West Ham,21,Angelo Ogbonna,West Ham,False,CB,0,2023-08-12,Bournemouth,West Ham,Bournemouth,Bournemouth,CB,False,"CB,RW",CB,CB,,,
ENG-Premier League,2324,Bournemouth-West Ham,24,Thilo Kehrer,West Ham,False,DM,5,2023-08-12,Bournemouth,West Ham,Bournemouth,Bournemouth,RB,True,"DM,CB,RB",DM,DM,,,
ENG-Premier League,2324,Bournemouth-West Ham,45,Divin Mubama,West Ham,False,FW,0,2023-08-12,Bournemouth,West Ham,Bournemouth,Bournemouth,FW,False,"FW,LF",FW,FW,,,
ENG-Premier League,2324,Brighton-Luton Town,23,Jason Steele,Brighton,True,GK,90,2023-08-12,Brighton,Luton,Luton,Luton,GK,False,GK,GK,GK,,,
ENG-Premier League,2324,Brighton-Luton Town,5,Lewis Dunk,Brighton,True,CB,90,2023-08-12,Brighton,Luton,Luton,Luton,CB,False,CB,CB,CB,,,
ENG-Premier League,2324,Brighton-Luton Town,6,James Milner,Brighton,True,RB,78,2023-08-12,Brighton,Luton,Luton,Luton,LM,True,"RB,LM,LB,LM,CM,LB,AM,LB,RB,WB",LB,RB,,,
ENG-Premier League,2324,Brighton-Luton Town,7,Solly March,Brighton,True,RW,73,2023-08-12,Brighton,Luton,Luton,Luton,RW,False,"RW,AMR,LB",RW,RW,,,
ENG-Premier League,2324,Brighton-Luton Town,8,Mahmoud Dahoud,Brighton,True,DM,73,2023-08-12,Brighton,Luton,Luton,Luton,DM,False,"DM,CM",DM,DM,,,
ENG-Premier League,2324,Brighton-Luton Town,9,Joao Pedro,Brighton,True,AM,87,2023-08-12,Brighton,Luton,Luton,Luton,FW,True,"AM,CF,FW,LF,LW,AM,FW,LW",AM,AM,,,
ENG-Premier League,2324,Brighton-Luton Town,13,Pascal Gross,Brighton,True,DM,90,2023-08-12,Brighton,Luton,Luton,Luton,DM,False,"DM,DM,RM,CM,LB,RB,CM,DM,RB,LB,AM,LB,RB,AM,DM,RB,RM",DM,DM,,,
ENG-Premier League,2324,Brighton-Luton Town,18,Danny Welbeck,Brighton,True,FW,77,2023-08-12,Brighton,Luton,Luton,Luton,FW,False,"FW,AM,CF,LF,AMR",FW,FW,,,
ENG-Premier League,2324,Brighton-Luton Town,22,Kaoru Mitoma,Brighton,True,LW,90,2023-08-12,Brighton,Luton,Luton,Luton,LW,False,"LW,AML,WB",LW,LW,,,
ENG-Premier League,2324,Brighton-Luton Town,29,Jan Paul van Hecke,Brighton,True,CB,90,2023-08-12,Brighton,Luton,Luton,Luton,CB,False,CB,CB,CB,,,
ENG-Premier League,2324,Brighton-Luton Town,30,Pervis Estupinan,Brighton,True,LB,90,2023-08-12,Brighton,Luton,Luton,Luton,LB,False,"LB,WB,LW",LB,LB,,,
ENG-Premier League,2324,Brighton-Luton Town,1,Bart Verbruggen,Brighton,False,GK,0,2023-08-12,Brighton,Luton,Luton,Luton,GK,False,GK,GK,GK,,,
