PlayerID,Team,Opponent,GameID,TeamPlayerFormation,player,date,home_team,away_team,reason,status,player_y
321020,Burnley,Brighton,1729397, 8,Sander Berge,2024-04-13 15:00:00,Burnley,Brighton,,,
410522,Burnley,Brighton,1729397, 9,David Datro Fofana,2024-04-13 15:00:00,Burnley,Brighton,,,
444751,Burnley,Brighton,1729397, 10,Wilson Odobert,2024-04-13 15:00:00,Burnley,Brighton,,,
307202,Burnley,Brighton,1729397, 11,Jacob Bruun Larsen,2024-04-13 15:00:00,Burnley,Brighton,,,
404852,Burnley,Brighton,1729397, 0,James Trafford,2024-04-13 15:00:00,Burnley,Brighton,,,
107462,Burnley,Brighton,1729397, 0,Charlie Taylor,2024-04-13 15:00:00,Burnley,Brighton,,,
41868,Burnley,Brighton,1729397, 0,Johann Gudmundsson,2024-04-13 15:00:00,Burnley,Brighton,,,
138929,Burnley,Brighton,1729397, 0,Josh Brownhill,2024-04-13 15:00:00,Burnley,Brighton,,,
33891,Burnley,Brighton,1729397, 0,Jay Rodriguez,2024-04-13 15:00:00,Burnley,Brighton,,,
400244,Burnley,Brighton,1729397, 0,Benson Manuel,2024-04-13 15:00:00,Burnley,Brighton,,,
424624,Burnley,Brighton,1729397, 0,Zeki Amdouni,2024-04-13 15:00:00,Burnley,Brighton,,,
383581,Burnley,Brighton,1729397, 0,Mike Tresor,2024-04-13 15:00:00,Burnley,Brighton,,,
365831,Burnley,Brighton,1729397, 0,Han-Noah Massengo,2024-04-13 15:00:00,Burnley,Brighton,injured,Out,Han-Noah Massengo
400138,Brighton,Burnley,1729397,1,Bart Verbruggen,2024-04-13 15:00:00,Burnley,Brighton,,,
110290,Brighton,Burnley,1729397, 2,Joel Veltman,2024-04-13 15:00:00,Burnley,Brighton,,,
298694,Brighton,Burnley,1729397, 3,Pervis Estupinan,2024-04-13 15:00:00,Burnley,Brighton,,,
436048,Brighton,Burnley,1729397, 4,Carlos Baleba,2024-04-13 15:00:00,Burnley,Brighton,,,
365402,Brighton,Burnley,1729397, 5,Jan Paul van Hecke,2024-04-13 15:00:00,Burnley,Brighton,,,
86441,Brighton,Burnley,1729397, 6,Lewis Dunk,2024-04-13 15:00:00,Burnley,Brighton,,,
443004,Brighton,Burnley,1729397, 7,Simon Adingra,2024-04-13 15:00:00,Burnley,Brighton,,,
71824,Brighton,Burnley,1729397, 8,Pascal Gross,2024-04-13 15:00:00,Burnley,Brighton,,,
39308,Brighton,Burnley,1729397, 9,Danny Welbeck,2024-04-13 15:00:00,Burnley,Brighton,,,
399378,Brighton,Burnley,1729397, 10,Jakub Moder,2024-04-13 15:00:00,Burnley,Brighton,,,
373525,Brighton,Burnley,1729397, 11,Joao Pedro,2024-04-13 15:00:00,Burnley,Brighton,,,
382241,Brighton,Burnley,1729397, 0,Igor Julio,2024-04-13 15:00:00,Burnley,Brighton,,,
21683,Brighton,Burnley,1729397, 0,Adam Lallana,2024-04-13 15:00:00,Burnley,Brighton,,,
419341,Brighton,Burnley,1729397, 0,,2024-04-13 15:00:00,Burnley,Brighton,,,
33532,Brighton,Burnley,1729397, 0,Jason Steele,2024-04-13 15:00:00,Burnley,Brighton,,,
382234,Brighton,Burnley,1729397, 0,Ansu Fati,2024-04-13 15:00:00,Burnley,Brighton,,,
432384,Brighton,Burnley,1729397, 0,Facundo Buonanotte,2024-04-13 15:00:00,Burnley,Brighton,,,
423721,Brighton,Burnley,1729397, 0,Odeluga Offiah,2024-04-13 15:00:00,Burnley,Brighton,,,
454792,Brighton,Burnley,1729397, 0,Cameron Peupion,2024-04-13 15:00:00,Burnley,Brighton,,,
509424,Brighton,Burnley,1729397, 0,,2024-04-13 15:00:00,Burnley,Brighton,,,
46092,Newcastle,Tottenham,1729410,1,Martin Dubravka,2024-04-13 12:30:00,Newcastle,Tottenham,,,
141486,Newcastle,Tottenham,1729410, 2,Jacob Murphy,2024-04-13 12:30:00,Newcastle,Tottenham,,,
82277,Newcastle,Tottenham,1729410, 3,Dan Burn,2024-04-13 12:30:00,Newcastle,Tottenham,,,
338780,Newcastle,Tottenham,1729410, 4,Bruno Guimaraes,2024-04-13 12:30:00,Newcastle,Tottenham,,,
100599,Newcastle,Tottenham,1729410, 5,Emil Krafth,2024-04-13 12:30:00,Newcastle,Tottenham,,,
82726,Newcastle,Tottenham,1729410, 6,Fabian Schar,2024-04-13 12:30:00,Newcastle,Tottenham,,,
342811,Newcastle,Tottenham,1729410, 7,Sean Longstaff,2024-04-13 12:30:00,Newcastle,Tottenham,,,
402596,Newcastle,Tottenham,1729410, 8,Elliot Anderson,2024-04-13 12:30:00,Newcastle,Tottenham,,,
299254,Newcastle,Tottenham,1729410, 9,Alexander Isak,2024-04-13 12:30:00,Newcastle,Tottenham,,,
349669,Newcastle,Tottenham,1729410, 10,Anthony Gordon,2024-04-13 12:30:00,Newcastle,Tottenham,,,
331382,Newcastle,Tottenham,1729410, 11,Harvey Barnes,2024-04-13 12:30:00,Newcastle,Tottenham,,,
112009,Newcastle,Tottenham,1729410, 0,Paul Dummett,2024-04-13 12:30:00,Newcastle,Tottenham,,,
68648,Newcastle,Tottenham,1729410, 0,Matt Ritchie,2024-04-13 12:30:00,Newcastle,Tottenham,,,
107176,Newcastle,Tottenham,1729410, 0,Loris Karius,2024-04-13 12:30:00,Newcastle,Tottenham,,,
430294,Newcastle,Tottenham,1729410, 0,Lewis Hall,2024-04-13 12:30:00,Newcastle,Tottenham,,,
415174,Newcastle,Tottenham,1729410, 0,Tino Livramento,2024-04-13 12:30:00,Newcastle,Tottenham,injured,Out,Tino Livramento
134640,Newcastle,Tottenham,1729410, 0,,2024-04-13 12:30:00,Newcastle,Tottenham,,,
425059,Newcastle,Tottenham,1729410, 0,Joe White,2024-04-13 12:30:00,Newcastle,Tottenham,,,
492690,Newcastle,Tottenham,1729410, 0,Alex Murphy,2024-04-13 12:30:00,Newcastle,Tottenham,,,
492692,Newcastle,Tottenham,1729410, 0,Ben Parkinson,2024-04-13 12:30:00,Newcastle,Tottenham,,,
147863,Tottenham,Newcastle,1729410,1,Guglielmo Vicario,2024-04-13 12:30:00,Newcastle,Tottenham,,,
362352,Tottenham,Newcastle,1729410, 2,Pedro Porro,2024-04-13 12:30:00,Newcastle,Tottenham,,,
401044,Tottenham,Newcastle,1729410, 3,Destiny Udogie,2024-04-13 12:30:00,Newcastle,Tottenham,,,
303657,Tottenham,Newcastle,1729410, 4,Rodrigo Bentancur,2024-04-13 12:30:00,Newcastle,Tottenham,,,
323663,Tottenham,Newcastle,1729410, 5,Cristian Romero,2024-04-13 12:30:00,Newcastle,Tottenham,,,
425229,Tottenham,Newcastle,1729410, 6,Micky van de Ven,2024-04-13 12:30:00,Newcastle,Tottenham,,,
379688,Tottenham,Newcastle,1729410, 7,Brennan Johnson,2024-04-13 12:30:00,Newcastle,Tottenham,,,
303096,Tottenham,Newcastle,1729410, 8,Yves Bissouma,2024-04-13 12:30:00,Newcastle,Tottenham,,,
91909,Tottenham,Newcastle,1729410, 9,Son Heung-Min,2024-04-13 12:30:00,Newcastle,Tottenham,,,
137015,Tottenham,Newcastle,1729410, 10,James Maddison,2024-04-13 12:30:00,Newcastle,Tottenham,,,
130903,Tottenham,Newcastle,1729410, 11,Timo Werner,2024-04-13 12:30:00,Newcastle,Tottenham,,,
101859,Tottenham,Newcastle,1729410, 0,Pierre-Emile Hojbjerg,2024-04-13 12:30:00,Newcastle,Tottenham,,,
400097,Tottenham,Newcastle,1729410, 0,Radu Dragusin,2024-04-13 12:30:00,Newcastle,Tottenham,,,
368519,Tottenham,Newcastle,1729410, 0,Bryan Gil,2024-04-13 12:30:00,Newcastle,Tottenham,,,
328512,Tottenham,Newcastle,1729410, 0,Emerson Royal,2024-04-13 12:30:00,Newcastle,Tottenham,,,
303908,Tottenham,Newcastle,1729410, 0,Giovani Lo Celso,2024-04-13 12:30:00,Newcastle,Tottenham,,,
355855,Tottenham,Newcastle,1729410, 0,Dejan Kulusevski,2024-04-13 12:30:00,Newcastle,Tottenham,,,
403859,Tottenham,Newcastle,1729410, 0,Pape Sarr,2024-04-13 12:30:00,Newcastle,Tottenham,,,
103837,Tottenham,Newcastle,1729410, 0,Ben Davies,2024-04-13 12:30:00,Newcastle,Tottenham,,,
386134,Tottenham,Newcastle,1729410, 0,,2024-04-13 12:30:00,Newcastle,Tottenham,,,
115131,Brentford,Luton,1729433,1,Mark Flekken,2024-04-20 15:00:00,Luton,Brentford,,,
321085,Brentford,Luton,1729433, 2,Kristoffer Ajer,2024-04-20 15:00:00,Luton,Brentford,injured doubtful,Doubtful,Kristoffer Ajer
362275,Brentford,Luton,1729433, 3,Sergio Reguilon,2024-04-20 15:00:00,Luton,Brentford,,,
298689,Brentford,Luton,1729433, 4,Vitaly Janelt,2024-04-20 15:00:00,Luton,Brentford,,,
372724,Brentford,Luton,1729433, 5,Nathan Collins,2024-04-20 15:00:00,Luton,Brentford,,,
342499,Brentford,Luton,1729433, 6,Ethan Pinnock,2024-04-20 15:00:00,Luton,Brentford,,,
401168,Brentford,Luton,1729433, 7,Mikkel Damsgaard,2024-04-20 15:00:00,Luton,Brentford,,,
339674,Brentford,Luton,1729433, 8,Mathias Jensen,2024-04-20 15:00:00,Luton,Brentford,,,
296240,Brentford,Luton,1729433, 9,Yoane Wissa,2024-04-20 15:00:00,Luton,Brentford,,,
353377,Brentford,Luton,1729433, 10,Bryan Mbeumo,2024-04-20 15:00:00,Luton,Brentford,,,
368512,Brentford,Luton,1729433, 11,Keane Lewis-Potter,2024-04-20 15:00:00,Luton,Brentford,,,
101856,Brentford,Luton,1729433, 0,Christian Norgaard,2024-04-20 15:00:00,Luton,Brentford,injured doubtful,Doubtful,Christian Norgaard
119822,Brentford,Luton,1729433, 0,Neal Maupay,2024-04-20 15:00:00,Luton,Brentford,,,
407260,Brentford,Luton,1729433, 0,Kevin Schade,2024-04-20 15:00:00,Luton,Brentford,,,
29026,Brentford,Luton,1729433, 0,Zanka,2024-04-20 15:00:00,Luton,Brentford,,,
320575,Brentford,Luton,1729433, 0,Saman Ghoddos,2024-04-20 15:00:00,Luton,Brentford,,,
404109,Brentford,Luton,1729433, 0,Frank Onyeka,2024-04-20 15:00:00,Luton,Brentford,,,
121480,Brentford,Luton,1729433, 0,Thomas Strakosha,2024-04-20 15:00:00,Luton,Brentford,,,
329554,Brentford,Luton,1729433, 0,Mads Roerslev,2024-04-20 15:00:00,Luton,Brentford,,,
444304,Brentford,Luton,1729433, 0,Yehor Yarmoliuk,2024-04-20 15:00:00,Luton,Brentford,,,
64342,Luton,Brentford,1729433,1,Thomas Kaminski,2024-04-20 15:00:00,Luton,Brentford,,,
399955,Luton,Brentford,1729433, 2,Issa Kabore,2024-04-20 15:00:00,Luton,Brentford,,,
362246,Luton,Brentford,1729433, 3,Alfie Doughty,2024-04-20 15:00:00,Luton,Brentford,,,
366080,Luton,Brentford,1729433, 4,Gabriel Osho,2024-04-20 15:00:00,Luton,Brentford,injured,Out,Gabriel Osho
388671,Luton,Brentford,1729433, 5,Teden Mengi,2024-04-20 15:00:00,Luton,Brentford,injured doubtful,Doubtful,Teden Mengi
